uniq.group,context,agonistic.inter,prop.active,friendly,locomotor.play
DG-2_F,Weaning,0.24925816,0.992063492,0.284866469,0
DG-2_W,Weaning,0.166481687,0.881481481,0.299667037,0.166481687
DG-3_F,Weaning,0.206422018,0.957142857,0.206422018,0.03440367
DG-3_W,Weaning,0.331674959,0.726666667,0.232172471,0.132669983
DG-4_F,Weaning,0.183955033,0.746666667,1.195707716,0.091977517
DG-4_W,Weaning,1.001112347,0.792857143,0.967741935,0.100111235
DG-5_F,Weaning,0.099228225,0.68,0.363836825,0.3969129
DG-5_W,Weaning,0.227272727,0.993333333,0.194805195,0.357142857
DG-2_F,Baseline,0,0.007142857,0.213017751,0
DG-2_W,Baseline,NA,NA,NA,NA
DG-3_F,Baseline,0.467185762,0.786666667,1.334816463,0.300333704
DG-3_W,Baseline,0.093896714,0.688888889,1.564945227,0.312989045
DG-4_F,Baseline,0.033094319,0.72,1.025923883,0.430226145
DG-4_W,Baseline,0,0.542857143,0.237691002,0
DG-5_F,Baseline,0,0.1,0.166112957,0
DG-5_W,Baseline,0.166021029,0.493333333,1.494189264,0.166021029
DG-2_F,Play,0.068065797,1,0.850822462,3.879750425
DG-2_W,Play,0,0.848837209,0.297029703,3.630363036
DG-3_F,Play,0.203735144,0.927927928,1.697792869,2.85229202
DG-3_W,Play,0,0.971428571,0.651801029,2.504288165
DG-4_F,Play,0,0.922330097,1.555686506,4.384207425
DG-4_W,Play,0,0.921259843,0.852757248,3.922683343
DG-5_F,Play,0,0.733333333,1.782511211,2.522421525
DG-5_W,Play,0.139778684,0.953703704,2.061735585,2.376237624
